Seed,Epoch,Dual_Variable_nu,Average_Discounted_Cost,Average_Returns
42,1,0.0,5.22484883175046,-1.2323968784304287
42,2,0.0,6.570799235444728,-0.8394848093150961
42,3,0.0,3.9346818326086628,0.17601167117261027
42,4,0.03796361788966708,10.796361788966708,0.7510406584838455
42,5,0.0234768517867619,5.551323389709482,0.868439706763275
42,6,0.014239695254930115,6.076284346816822,2.0676560010792473
42,7,0.02164223386021922,7.74025386052891,2.241938997366536
42,8,0.029190906112327754,7.7548672252108535,2.8922181685958095
42,9,0.06569588072321851,10.650497461089076,4.426980755237013
42,10,0.04294796104870624,4.725208032548773,5.407949283962916
42,11,0.06241244131571721,8.946448026701097,6.225474833800315
42,12,0.06919661175897052,7.6784170443253315,7.178371391604742
42,13,0.08676784314276192,8.757123138379141,8.38786358854744
42,14,0.09738753378948042,8.06196906467185,8.948106789835652
42,15,0.12792794796505053,10.054041417557011,9.625561947820474
42,16,0.13700708330621067,7.907913534116013,11.317530273624387
42,17,0.1843353687596745,11.732828545346381,12.369845944895122
42,18,0.2074693678354806,9.31339990758061,13.302722821344963
42,19,0.2421570426994778,10.468767486399722,14.326152057910244
42,20,0.2896192439839454,11.746220128446762,14.872608993397657
42,21,0.3198753371972522,10.025609321330682,15.262687815072477
42,22,0.348194463566406,9.831912636915378,15.982061597762716
42,23,0.39205679679633293,11.386233322992696,17.01699351514951
42,24,0.42285874757720393,10.080195078087101,18.010472532581197
42,25,0.44612671495693457,9.326796737973066,18.977168381199345
42,26,0.5165961105704635,14.046939561352898,18.773758679596078
42,27,0.5298490000187053,8.32528894482418,20.383191581797078
42,28,0.5808818219697948,12.103282195108948,20.128588106135442
42,29,0.6129052530817733,10.202343111197855,22.01104380254242
42,30,0.6194977810438621,7.659252796208872,21.773740342610658
42,31,0.6446701796229585,9.517239857909637,22.702256935091626
42,32,0.6950258414763401,12.035566185338155,23.366237777925043
42,33,0.7132756969306822,8.824985545434215,24.145552812342792
42,34,0.7486713890596144,10.539569212893225,23.293399381922946
42,35,0.7750868566254734,9.641546756585896,24.14529743401429
42,36,0.7926946604560907,8.76078038306173,25.08456485690681
42,37,0.8175153224878712,9.48206620317805,24.56617704775733
42,38,0.867325501044834,11.981017855696274,25.583207489938278
42,39,0.8805371021162486,8.321160107141463,25.38672670597452
42,40,0.9219352102506894,11.139810813444083,26.202635615103308
42,41,0.9436868084736676,9.175159822297822,26.32498485624462
42,42,0.9917443117010898,11.80575032274222,26.402555179161283
42,43,1.031551990228721,10.98076785276311,26.97582687882838
42,44,1.0728863563619335,11.133436613321251,27.304184843601746
42,45,1.0862977670384748,8.341141067654126,27.326860856503902
42,46,1.1399827224511088,12.368495541263394,27.678764232646667
42,47,1.183081614745326,11.309889229421737,27.788101747242973
