Seed,Epoch,Dual_Variable_nu,Average_Discounted_Cost,Average_Returns
88,1,0.0,19.86991005940473,5.023801904975936
88,2,0.0,23.007980746789162,10.413310666180685
88,3,0.0,32.03684203361662,12.655967143568397
88,4,0.0,36.8267208547749,31.112520640253127
88,5,0.0,38.33975091290967,61.5473910731808
88,6,0.0,43.870741199198854,97.09259841096068
88,7,0.0,41.67421811456634,129.94916518932953
88,8,0.0,44.55128314373409,229.90500307927823
88,9,0.0,48.08383631639331,186.1979064296763
88,10,0.0,41.22962364084749,199.35409480419966
88,11,0.0,44.11728630253766,215.2431996281465
88,12,0.0,51.60368559084736,290.90481750623496
88,13,0.0,44.9825147127806,264.0623675291877
88,14,0.0,47.84094389030169,259.3364793644355
88,15,0.0,46.710515566348306,245.9685988968943
88,16,0.0,45.11148262599211,295.4485379073286
88,17,0.0,40.73037753781033,288.8598667844387
88,18,0.0,42.23584476248157,284.03935792995065
88,19,0.0,41.48762469032739,331.765546015468
88,20,0.0,43.71967822166997,267.61767117302134
88,21,0.0,40.72289166932371,263.48588546538144
88,22,0.0,38.62935024523596,390.2227888411724
88,23,0.0,43.95079126785151,296.99502393461074
88,24,0.0,43.274049949675806,322.64129796227405
88,25,0.0,41.67232391668171,308.4066762433249
88,26,0.0,40.151238912685436,306.0479770109097
88,27,0.0,42.78805579900576,277.1675756954114
88,28,0.0,40.1869075435299,345.0046928622422
88,29,0.0,42.90071083653045,291.86440573356776
88,30,0.0,40.20262652056726,325.25397581621985
88,31,0.0,41.6326785896566,289.20427142074436
88,32,0.0,44.669097564062895,273.4229537827565
88,33,0.0,46.56566105015622,269.4925922221051
88,34,0.0,39.81566368156889,281.94244859841666
88,35,0.0,44.14139696366327,290.6785396284873
88,36,0.0,44.00148241267371,276.7371081373963
88,37,0.0,46.177983627011066,287.5114055151567
88,38,0.0,42.891234935518476,343.5307318946017
88,39,0.0,43.93988931790557,291.8982973522123
88,40,0.0,47.99949525377686,275.74932536939974
88,41,0.0,45.576335987183,289.1174617026734
88,42,0.0,49.06776833133427,298.3233581070569
88,43,0.0,51.473528965130065,318.02156956951956
88,44,0.0,46.63044509258539,331.91423008794527
88,45,0.0,52.88862939325747,323.4035385695807
88,46,0.0,50.96585445047397,352.7061803855635
88,47,0.0,55.900893242911906,338.9233559714358
88,48,0.0,57.66109903675429,312.49795860593935
88,49,0.0,51.95963413611365,357.8805888152807
88,50,0.0,56.71625808568781,338.7578409561914
88,51,0.0,59.01725317007633,342.09574459501613
88,52,0.0,58.443752711415684,357.1104934474814
88,53,0.0,60.571388090180385,343.6806489276275
88,54,0.0,56.919081139070244,365.5050089843808
88,55,0.0,56.66339112050577,370.0760015899828
88,56,0.0,57.627787903427276,373.2014399724533
88,57,0.0,57.4880781090035,367.99001852045063
88,58,0.0,60.3660490207041,368.82024047385323
88,59,0.0,59.22500171757133,357.8119965833264
88,60,0.0,57.376955927516,350.862507541182
88,61,0.0,58.07839828762963,369.5239521173096
88,62,0.0,59.858908237634296,354.370428266247
88,63,0.0,60.99291521738031,364.3198810103257
88,64,0.0,61.23352641550525,371.7984663660329
88,65,0.0,61.36381583092225,366.489865279781
88,66,0.0,59.037580038462416,362.8680069501587
88,67,0.0,64.14389108336734,350.15406951661544
88,68,0.0,66.79643651244967,359.11222285694765
88,69,0.0,64.37690813305734,368.010559811147
88,70,0.0,66.58922103318504,357.84957976057666
88,71,0.0,64.3203060384942,377.3004230012237
88,72,0.0,64.47973349435723,374.01522631446335
88,73,0.0,67.07177027074,378.7817225999732
88,74,0.0,71.0776626669077,353.7293058135978
88,75,0.0,68.44925110086304,382.59846501965717
88,76,0.0,70.10943183034222,369.97493777740937
88,77,0.0,71.62821289274807,362.2586360928788
88,78,0.0,64.79860488358982,380.04715309581894
88,79,0.0,70.5386325977869,372.7515030872221
88,80,0.0,71.0267435825008,369.3532113199037
88,81,0.0,72.60671914344726,367.43027400772894
88,82,0.0,68.98532727836901,354.0748666886372
88,83,0.0,72.21722500307342,349.9293028520493
88,84,0.0,70.09613490224045,351.76416614864144
88,85,0.0,74.31331007477472,373.124995682585
88,86,0.0,75.73623528452057,360.11497847880855
88,87,0.0,75.71895443642258,378.0087815070893
88,88,0.0,72.88035170184769,380.11365680226646
88,89,0.0,70.46174187991478,387.6516910676424
88,90,0.0,70.34934840498994,409.4809682949281
88,91,0.0,71.82788430887892,395.1212957067762
88,92,0.0,76.555984042122,386.3725202031385
88,93,0.0,73.60834368224579,393.1243210508388
88,94,0.0,69.32729336586708,409.2134296841075
88,95,0.0,77.29755449354077,370.89906632258527
88,96,0.0,78.19022714695932,384.25925688800265
88,97,0.0,77.89485633788819,353.2966371290647
88,98,0.0,73.85903845120264,395.0954594827199
88,99,0.0,74.76061138492956,398.1097112876627
88,100,0.0,76.26241631056844,392.0549967175704
88,101,0.0,74.79624963079631,396.87071361641733
88,102,0.0,78.80213004987887,391.98904102939787
88,103,0.0,77.28253029638174,396.4944677248206
88,104,0.0,79.42569518232715,385.64956416024626
88,105,0.0,77.60395294111561,402.2495481944238
88,106,0.0,77.83197294927231,412.17453747961804
88,107,0.0,81.25537192466776,408.4026219393777
88,108,0.010677817007831294,82.95778170078313,395.4146229260563
88,109,0.0,76.55388775875699,418.2069656858903
88,110,0.01505157743858362,83.39515774385836,398.8501361485519
